pub_identity,pub_deletion,place,name,address,latitude,longitude,category,rank,station_identity,area_identity
c0120f51-ab4c-476d-bd91-4d5f246e9074,False,ChIJScAqkHMFdkgRUzas6dSHSxM,The Doodle Bar,"60 Druid St, London SE1 2EZ, UK",51.50024779006702,-0.0763249397277832,bar,0.0,343f4043-6347-442f-98da-81f575c30b12,973e12de-e093-438f-8878-6337a0555ee8
d4ea95cf-e3b8-488f-b3c5-160b4cd5d974,False,ChIJ72L3z1sDdkgR2AYCjHUcNik,The Britannia - SMOK'D,"44 Kipling St, Kipling Estate, London SE1 3RU, UK",51.50120953016752,-0.0872039794921875,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
c898bd8c-d5b4-4bb5-819b-d80378ecbd70,False,ChIJWRzJ4VsDdkgRMHSiUrObgpM,The Old School Yard,"111 Long Ln, London SE1 4PH, UK",51.50039472389585,-0.0879979133605957,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
24f5f284-5c7b-41cf-bcec-56e7db601464,False,ChIJi37021gDdkgRWgiRo3MKIXk,The Royal Oak,"44 Tabard St, London SE1 4JU, UK",51.50011421344789,-0.0914311408996582,bar,0.0,57e01997-ee1b-4f2b-91fa-d0797ed221d2,75808b33-a6d6-4e79-bc63-cce0831d36a9
915508e0-ea3d-4082-9142-7b178298dded,False,ChIJD1Gn3l4DdkgRegPqeV0DghE,The Roebuck,"50 Great Dover St, London SE1 4YG, UK",51.49813723371005,-0.0906586647033691,bar,0.0,57e01997-ee1b-4f2b-91fa-d0797ed221d2,75808b33-a6d6-4e79-bc63-cce0831d36a9
d324bef0-4d75-438b-8a2a-9be977c67942,False,ChIJ3ZR2KEMDdkgREHNMOmkhWos,Bermondsey Arts Club,"102a Tower Bridge Rd, London SE1 4TP, UK",51.49674795340167,-0.0814104080200195,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
4d03fd58-b12d-4800-a087-dfbf347e2625,False,ChIJh0eRCZoFdkgRZGUsmEj8NSA,Redwood Sports Pub & Kitchen,"Bridge Station, London SE1 9SP, UK",51.50495611576003,-0.086216926574707,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
4910bad5-cc2a-488c-a645-fb92c3273982,False,ChIJh9MNaLkDdkgRDgvKgkf7EFU,Flat Iron London Bridge,"112-116 Tooley St, London SE1 2TH, UK",51.50422151541156,-0.0822794437408447,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
cb9c11de-61f1-4583-a8eb-4b7a9d89f912,False,ChIJIWchC1ADdkgR3EDRj1RG2_w,The Shipwrights Arms,"88 Tooley St, London SE1 2TF, UK",51.504618868888656,-0.0835400819778442,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
49e0632f-b944-4e35-a03d-b97b132e9b0f,False,ChIJbZiUoxsDdkgRG3fO4CTaBvA,Electric Shuffle London Bridge,"10 Bermondsey St, London SE1 2ER, UK",51.50401782867241,-0.0833040475845336,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
0070a010-95c5-494b-878f-47bcae4be933,False,ChIJ9eFJS0UDdkgRCBXBkYpfijM,Nine Lives,"8 Holyrood St, London SE1 2EL, UK",51.50341344134999,-0.0820487737655639,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
be8eb9ff-1018-4efd-8d78-984e50ed2365,False,ChIJvZZxUVoDdkgRVYj8Op3GU3c,The Rose,"123 Snowsfields, London SE1 3ST, UK",51.50221799972367,-0.0855302810668945,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
dc337edd-d2e4-4886-89e7-a34ab1892ab9,False,ChIJ7_gJKlsDdkgRO3DY0JtpSno,Tanner & Co.,"50 Bermondsey St, London SE1 3UD, UK",51.501950857643216,-0.0824832916259765,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
6837ba08-86b6-425e-9056-45c7ae80b59c,False,ChIJLd5KKUEDdkgRYGL7iTjGU-c,Marquis of Wellington Bermondsey,"21 Druid St, London SE1 2HH, UK",51.49908566036719,-0.0737178325653076,bar,0.0,2a815311-c162-4c4a-94bf-e5a3e1638564,973e12de-e093-438f-8878-6337a0555ee8
62d723d6-d338-406e-a1fa-cca2747ba338,False,ChIJG_nktywDdkgRe4j8jlLrfd8,Shisha Lounge Old Kent Road,"350 Old Kent Rd, London SE1 5AA, UK",51.48716878198833,-0.0755953788757324,bar,0.0,2cd82c2c-4c51-4bef-9dca-7d205aadf6ce,973e12de-e093-438f-8878-6337a0555ee8
ee6111f6-779e-4e3a-b6f8-bbf26d0d53c2,False,ChIJ8yI0eRADdkgRxKmnfPDZ9Ak,Small Beer Brew Co.,"70-72 Verney Rd, London SE16 3DH, UK",51.485739081710975,-0.0590944290161132,other,0.0,2cd82c2c-4c51-4bef-9dca-7d205aadf6ce,3765283d-ade4-45d8-b3fa-2121fc7776ad
882c968d-b5a1-4877-8e4f-4845ffb59ee7,False,ChIJkT9HehkDdkgRuzd-9AX_Szs,Fourpure Brewing Co.,"25, Bermondsey Trading Estate, Rotherhithe New Rd, London SE16 3LL, UK",51.48889237973116,-0.0536227226257324,bar,0.0,2cd82c2c-4c51-4bef-9dca-7d205aadf6ce,3765283d-ade4-45d8-b3fa-2121fc7776ad
3c5d3d3d-05d0-415e-8b19-9229f77932b1,False,ChIJAeHeu90CdkgRiEamlFTwxW0,"The Moby Dick, Greenland Dock","Greenland Dock, 6 Russell Pl, London SE16 7PL, UK",51.49546550322391,-0.0395894050598144,bar,0.0,c300191a-b7ff-4448-8ec4-6437bdacb405,95a37f36-5b87-4eb8-b1d8-2aba80c64d7a
