brunch,dart,detail,entertain,favourite,garden,history,late,music,pool,pub_identity,quiz,review_deletion,review_identity,roast,sport
False,False,Weatherspoons with riverside outdoor seating,False,False,False,False,False,False,False,7397e397-0fb2-4dc9-a13e-0e009a3c758a,False,False,2b63f8c6-93f0-434d-bf79-796d110f482f,False,False
True,False,Traditional pub,False,False,False,False,False,False,True,e77e436f-d231-42f2-b45a-cae75e3219d8,False,False,0bb29d36-a6c2-47ab-bc78-c81665192e68,False,True
True,False,Outdoor seating. Mon/Tue closed.,False,False,False,False,True,False,True,111a75e9-2d09-486a-a54e-5992dbc2eca0,False,False,c9f7c3bb-e94b-4e9c-bee1-7597dc7e186b,False,False
False,False,Outdoor seating,False,False,True,False,False,False,False,7de6ece6-65fa-4d47-a0af-851f3179dc87,False,False,06d15c26-6627-4bd1-93c3-5cf5641eae50,True,False
False,False,Tuesday 7.30pm quiz,False,False,False,False,False,True,False,3227e6fa-c80b-44d7-abb9-2b8c5d9dc817,True,False,0d430bcf-9f0a-4c81-93db-8b6a4365f360,True,True
False,False,Traditional pub,False,False,True,True,False,False,False,179ffa7c-b7dc-466d-a498-b181fdb219c9,False,False,ec24882c-5d48-4efd-abda-1f3558521d7c,False,False
False,False,Posh pub,False,False,False,False,False,False,False,666a1b60-9c50-4f86-b3c6-bcba1d6bf7ff,False,False,0eac16d2-476e-4a50-9988-f2e19e132a65,True,False
True,False,Indoor cricket nets and outdoor seating. Mon closed,True,False,False,False,False,False,False,75965700-9d04-4f07-a637-abfdbb49266b,False,False,bc6cc970-b920-4f47-99ac-6e6b890f2b9e,True,True
False,False,Tiki bar,False,False,False,False,True,False,False,0c448145-6d59-4bd8-abe8-ab0327021ea6,False,False,08363e78-6cf9-4d02-a1df-e5e1bee3ff43,False,False
False,False,Traditional pub,False,False,False,False,False,False,False,d1b6f9d8-77ff-4a30-9ed2-6c3d698c341b,False,False,f45993ba-2a40-4407-8589-f4d423b9ebdc,True,False
False,False,Late night cocktail bar,False,False,False,False,True,False,False,77e33190-8e85-464c-8b0a-c0e4412ca130,False,False,6eb36501-5257-4060-ba00-1f5b1bb34e9f,False,False
False,False,Modern bar,False,False,True,False,False,False,False,5f52213e-c6e9-4aac-a691-17c4c582d321,False,False,8f283ad6-f83c-479c-afb4-c9945e68dbde,False,True
False,False,Colourful pub with attached theatre. Sun 7.30pm quiz,True,False,False,False,False,False,False,d9eddec9-79ea-451a-8281-2633fa3e0d7f,True,False,a65ea6bd-c48d-414b-b082-3e03a0494e6b,True,True
False,False,Pint sized pub with Mon quiz,False,False,False,False,False,False,False,6965daa1-882e-4361-8965-276a02cdd614,True,False,2db10cca-5d5a-45a2-96dd-21f8341b19c4,True,False
False,False,Regular quiz nights and live music. Outdoor seating,False,False,False,False,False,True,False,537c84a3-b54b-488e-9f55-652409df94b0,True,False,41ca9321-1d82-4ff1-a84f-1083ec4a9ee7,False,False
False,False,Traditional pub,False,False,False,False,False,False,False,e1981c7d-fc99-45ef-92cf-c4aac6090cfc,False,False,404875a0-ee26-4de5-9023-6c8e5da4eecc,True,False
False,False,Mon 8pm quiz,False,False,False,False,False,False,False,c26bd2e6-40d3-48c8-9d1e-9d4fd4af3231,True,False,42c126af-4af7-48f3-8f6b-d15a17217598,False,False
False,False,Sun open mic. Outdoor seating,True,False,False,False,False,False,False,2adfb24e-f964-4a76-8c4f-799f7c704096,False,False,36effab3-813f-4fc8-a8cf-2aadf13f4bf9,False,True
False,False,Pub with fine dining with some quiz and other events,True,False,False,False,False,False,False,7685a7db-c6df-4182-a3c1-c86e94bb099b,True,False,2ed6e083-f621-43a1-88a3-381b2dc131ac,False,False
False,False,Canal side bar with Wed 7.30pm quiz,False,False,True,False,False,False,False,97a112a9-31a7-4be6-bae9-0b828715e042,True,False,f936be36-25d6-4c16-98f2-b2240f2b50c1,False,False
False,False,Pub with fine dining,False,False,False,False,False,False,False,e620aa52-3217-4d9c-b733-36b8e5fe71d6,False,False,9c7d668f-4aac-4ac6-b9ad-197ad89e38c9,True,False
False,False,Mon live music and other events,True,False,False,False,False,True,False,4d2b172a-3f76-4936-af1f-3a9fa3129835,False,False,4e6fd938-f52a-4eb7-bd70-0306f36c1523,True,False
False,False,Hotel and events venue,False,False,False,False,False,False,False,c1780172-c0ae-4986-9870-c1f41d07186a,False,False,1d109064-2e94-4806-a858-dc7e58a4c4a2,False,False
False,False,Modern pub. First Tue life drawing,True,False,False,False,False,False,False,4b4763d9-f1d4-4967-b6ff-f60295e0b08a,False,False,762f9d9e-a089-4b38-8442-973e50ec6441,True,False
False,False,0,False,False,False,False,False,False,False,2187101a-c4ba-4e73-abba-01f094808673,False,False,61040888-fbc1-4c02-8e33-82bd90415a53,False,False
False,False,Traditional pub,False,False,False,True,False,False,False,390c3f91-bd96-45a4-88da-a47c537cfe89,False,False,ac0957b1-2473-4ba9-8624-ce914354001d,True,False
