station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction
ea8ccd3f-ec69-4fd0-8348-a51616f0a618,False,Canada Water,51.49816833125088,-0.0508071208490972,2,SE16 7BB,South
416236f6-07fa-48ac-a7a2-93482c1a3aab,False,Canary Wharf,51.50357837512887,-0.0194668401393244,2,E14 4QS,East
362a6771-bfae-4d15-aa8a-881a77bbff74,False,Canning Town,51.51387030350512,0.0083056327487643,3,E16 1DQ,East
e152f0fa-98f7-45d8-a9f9-e0ada5d954a3,False,Cannon Street,51.51136194370192,-0.0902505264150347,1,EC4N 6AP,Central
770c23f0-1fb7-4255-8c05-6ded743f4d6d,False,Canonbury,51.54818823621243,-0.092574195328179,2,N1 2PG,North
109d31fc-2464-4e06-8bcf-cc0f3bd1258e,False,Canons Park,51.60765009028535,-0.294391591494146,5,HA8 6RN,North West
ed6dd52d-5372-47ba-bb71-14f03ef136bd,False,Carpenders Park,51.628186088758376,-0.3858293151270327,7,WD19 7DT,West
3cb0a9b3-fa72-4164-8a7e-58dbf41676f4,False,Carshalton,51.36842609544169,-0.166398326395598,5,SM5 2HT,South
3b3ae0b0-6ab5-4b5f-9231-e4e7daea4919,False,Carshalton Beeches,51.357386565323054,-0.1694963244693624,5,SM5 3LG,South
d521a169-c3aa-4cff-ae4d-8105f47e065a,False,Castle Bar Park,51.52297312488631,-0.3315040699380954,4,W7 1AY,West
b5cc8879-8f82-419a-b7c8-751ef6e800b4,False,Caterham,51.28216269622904,-0.0786072982130977,6,CR3 6LB,South East
418b10a2-5ca0-4795-a34b-4846d1b8f184,False,Catford,51.444264871170326,-0.0265384985567016,3,SE6 4XT,South
32775326-16da-4f88-abca-9fb6dfa992e1,False,Catford Bridge,51.44469458702001,-0.0248218759100756,3,SE6 4RE,South
d0a9bc3e-917c-4824-926c-9eb97c0b9077,False,Centrale,51.37576730003021,-0.1038881032216323,"3,4,5,6",CR0 1XT,South East
