pub_identity,pub_deletion,place,name,address,latitude,longitude,category,station_identity,area_identity
e96d9cfd-fb5e-4f5f-b722-bf6cd1ad3aad,False,ChIJYxIC5M4EdkgR1KNQDHX_n1k,Ship and Shovell,"1-3 Craven Passage, London WC2N 5PH, UK",51.5076631,-0.1247032,bar,d1e053d2-34e4-4f3b-b83f-c4fb92769880,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
168c5191-a91d-4774-af72-c0b60222cd5c,False,ChIJBZy_ImUbdkgRikjoTsqS6zY,Famous Cock Tavern,"259 Upper St, London N1 1RU, UK",51.5460311,-0.1034609,bar,6339de91-7b07-4cc2-960f-3e12bb216599,7b9db47d-0a1c-429c-9608-711ed711e845
02587b03-dfd1-4ac7-a987-762c49d7648d,False,ChIJ52G0Y-gddkgRBDmAqXB5rQI,Ye Olde Rose and Crown,"53 Hoe St, London E17 4SA, UK",51.5877778,-0.0205886,bar,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,be3be431-d8c0-4327-83e7-4718f2d97d97
5d30094e-5fcc-4144-bed7-9aee72419468,False,ChIJjzYS-O0ddkgRIvkzXxyMp8w,The Village Pub,"31 Orford Rd, London E17 9NL, UK",51.58272660740505,-0.0118714570999145,bar,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,be3be431-d8c0-4327-83e7-4718f2d97d97
c9a4f721-53ae-4482-916c-abc4e1ba52b1,False,ChIJn9h9h_IddkgRcUXuJHkuRSM,The Castle,"15 Grosvenor Rise E, London E17 9LB, UK",51.58069737698731,-0.0112055987119674,Bar,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,be3be431-d8c0-4327-83e7-4718f2d97d97
188ac738-7e4e-4433-ba8b-2e97b241bc1c,False,ChIJ6VEr-_EddkgRrOJ9YVG8gNk,The Nags Head,"9 Orford Rd, London E17 9LP, UK",51.5841265,-0.0111748,bar,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,be3be431-d8c0-4327-83e7-4718f2d97d97
94d24fde-0b24-4bec-a05d-3c8ca530db55,False,ChIJD7jeSWcbdkgRwyRdbn_qKIQ,The Old Queens Head Pub,"44 Essex Rd, London N1 8LN, UK",51.53722635051119,-0.1004061475396156,bar,d2878413-cc97-4454-984d-bb72e04c8bcc,7b9db47d-0a1c-429c-9608-711ed711e845
8c8cb344-915a-458d-8931-f674e014c890,False,ChIJSwlOvuUddkgRJM_Ry9bSQig,The Bell,"617 Forest Rd, London E17 4NE, UK",51.59020293522906,-0.0170451030135154,bar,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,be3be431-d8c0-4327-83e7-4718f2d97d97
5b752b18-6d5f-404d-a831-cea145c34dae,False,ChIJOXISL-oddkgR8T4iCezLtY4,Big Penny Social,"1 Priestley Way, London E17 6AL, UK",51.59085509999999,-0.0413180999999999,Bar,b2452466-5e6c-481f-abf5-bd2527db9c42,be3be431-d8c0-4327-83e7-4718f2d97d97
3e38be80-48d3-4177-a80d-7b670494e234,False,ChIJBUj2-9IEdkgRmSNxHI1mals,Mr Foggs Pawnbrokers,"50 Dean St, London W1D 5BG, UK",51.51274298601293,-0.1317474246025085,bar,a2fa95a7-428a-414b-a249-9e8d4a8aa9bd,1676a419-f2d0-4bf4-a5ae-569fea25e991
