pub_identity,detail,monday,tuesday,wednesday,thursday,friday,saturday,sunday,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport
22646d9c-ddb7-4170-86d6-d54993e70a20,Riverside bar. River dining cruises. Mon closed,,,,,,,,,,,,,,,,,,,
22a054c1-2fa8-43e4-8e8b-d871ef06775e,Riverside pub,,,,,,,,,,,,,,,,,,,
23a49eca-7ba3-4e8e-acc1-24a6ef5bb145,Wed 7.30pm quiz,,,,,,,,,,,,,,,,,,,
24011888-8956-4721-bd31-16e25befa503,Various events,,,,,,,,,,,,,,,,,,,
24f5f284-5c7b-41cf-bcec-56e7db601464,Wed quiz night,,,,,,,,,,,,,,,,,,,
24f986b5-187e-42fc-b67e-0727cdea5e21,Football themed pub,,,,,,,,,,,,,,,,,,,
25226e95-c677-4537-9acb-11e2f96b1647,Wine bar,,,,,,,,,,,,,,,,,,,
25778f10-deeb-4cbb-a724-52493a571301,Tue quiz,,,,,,,,,,,,,,,,,,,
25f791cc-a5a6-4cac-8b69-586702af957d,Outside tables,,,,,,,,,,,,,,,,,,,
262f94d5-8c95-4f3c-b275-61d230450b40,Football pub,,,,,,,,,,,,,,,,,,,
2683aaaf-fd32-4b1d-8446-34b85213b0ed,Classic pub,,,,,,,,,,,,,,,,,,,
2690523e-72c8-42b2-be66-91a61c5ecdb8,Great decor. Thur cocktails masterclass. Fri/Sat DJs. ,,,,,,,,,,,,,,,,,,,
2697bc03-5d16-4a51-a27f-66ff6a87b344,Distillery tours,,,,,,,,,,,,,,,,,,,
273730d6-1943-4988-a03c-636b744e477e,Taproom with pizza. Closed Mon,,,,,,,,,,,,,,,,,,,
277afc92-7eba-4f26-8850-b608c10238ac,TBC,,,,,,,,,,,,,,,,,,,
284bc813-b322-4dfc-9476-0a96d7bf5b53,Traditional pub,,,,,,,,,,,,,,,,,,,
29811e34-265f-48ce-b2a2-7b2cb3597648,Weatherspoons,,,,,,,,,,,,,,,,,,,
29c740d3-384a-4a66-9588-1b96e84a7a9d,False,,,,,,,,,,,,,,,,,,,
2adfb24e-f964-4a76-8c4f-799f7c704096,Sun open mic. Outdoor seating,,,,,,,,,,,,,,,,,,,
2b58e4be-e0f8-492d-9637-6faa0ca4f6fc,Traditional pub,,,,,,,,,,,,,,,,,,,
2b918e0e-447b-4939-97ae-023c542b46d2,Table tennis,,,,,,,,,,,,,,,,,,,
2b99f168-e63b-445e-a7dc-7f8bf76da331,Sun 7pm quiz with adjoined theatre,,,,,,,,,,,,,,,,,,,
2be39d69-a818-4c2d-9b58-bec09e585032,Traditional pub,,,,,,,,,,,,,,,,,,,
2c42f683-4123-446b-8d5e-53abbe613dcf,Wine bar,,,,,,,,,,,,,,,,,,,
2c9b2177-cd36-4de3-9604-52e27b68e587,Outdoor seating,,,,,,,,,,,,,,,,,,,
2cd9035f-af04-41dd-b63c-f47b75c90a8f,Wed 7.30pm quiz,,,,,,,,,,,,,,,,,,,
2dbf12b8-120a-46fd-ab1a-d1bb0a6ea778,various events,,,,,,,7.30pm quiz,,,,,,,,,,7.30pm sunday,,
