address,area_identity,category,place,pub_deletion,pub_identity,pub_latitude,pub_longitude,pub_name,rank,station_identity,colour
"40 Commercial St, London E1 6TB, UK",42591133-6127-4928-a6fc-d0f99e2c3d9a,Bar,ChIJAfrz4lYxcEERCMgjl3xkNDI,False,06f154c0-d04f-45a7-9c9b-2832b779a411,51.51691278399358,-0.073026493191719,The Culpeper,4.3,c12dd601-4162-4a6f-aeac-bf06652af750,#d9534f
"96-98 Pentonville Rd, London N1 9JB, UK",87b4b121-bf17-44e7-805a-a860f9ee4b33,Bar,ChIJI6PU40MbdkgR-IqFrYH-Nx8,False,6b75d781-b8c3-490d-b586-116dd69cad7c,51.53177135275627,-0.1114417612552642,The Lexington,4.3,d2878413-cc97-4454-984d-bb72e04c8bcc,#d9534f
"28 Harrison St, London WC1H 8JF, UK",8d7a9d04-eea3-45d7-a17c-e5271cbc1fa4,Bar,ChIJzX7hrDkbdkgRtP9mz-gMYJU,False,ed530a98-058f-4b2d-afb1-2adc4916e305,51.52761230160622,-0.120507963001728,The Harrison Pub & Hotel,4.4,9e6ed48e-ad9c-41cc-9bc2-3847bf2ecf73,#0275d8
"174 Camden High St, London NW1 0NS, UK",8576a0cd-0b4d-4a85-ba3c-122360e7d5f8,Bar,ChIJjeItM-AadkgREysmgYamTB8,False,80aeb850-5686-44ac-8e1b-424ef9cea747,51.53914199328301,-0.1422013342380523,The World's End,4.4,c8ba9409-51c5-4435-ac3c-9b17feb49030,#0275d8
"34-35 Great Sutton St, London EC1V 0DX, UK",87b4b121-bf17-44e7-805a-a860f9ee4b33,Bar,ChIJs8uE3FAbdkgRdzW8CuAgtxE,False,a81d00e5-7e30-4a8d-a012-acadc43c01b0,51.52335294770036,-0.101194716989994,The Slaughtered Lamb,4.3,d97b5ad4-eff1-439d-aad7-b121519aa3db,
"225 & 228 Fielding St, London SE17 3HD, UK",9396d9ef-c062-4530-b395-5bae8304c034,Bar,ChIJ2XcJGp0EdkgRIIjVHsP-w9c,False,b38678b1-85a6-418e-8741-4957ee3f7f5c,51.48501273170223,-0.095936581492424,Orbit Beers Brewery,4.8,bc19aff1-8711-4cae-af74-a13b49bd1af4,#0275d8
"149 Denmark Hill, London SE5 8EH, UK",b6fba238-e15d-4046-add2-5cbd96c5213d,Bar,ChIJGy8KWYYDdkgR3qAadAMQmSw,False,45852adf-75c3-4eb0-b99e-e9df1e047206,51.4652506965987,-0.0895844399929046,Fox on the Hill,3.9,a6567490-c28e-4c7a-b4b1-6db0653a972a,#0275d8
"Arch 11, Dockley Road Industrial Estate, Dockley Rd, London SE16 3SF, UK",3765283d-ade4-45d8-b3fa-2121fc7776ad,Bar,ChIJH5QKvD8DdkgRhkIIjPF2UAE,False,3ce5eac8-17c9-4a33-aba1-c10f695660ef,51.49591010673696,-0.0688321888446807,The Kernel Brewery Arch 7 Taproom,4.7,2a815311-c162-4c4a-94bf-e5a3e1638564,
"96 Jamaica Rd, London SE16 4SQ, UK",3765283d-ade4-45d8-b3fa-2121fc7776ad,Other,ChIJ67sU6z4DdkgR_KH2yr-roC0,False,62d2a587-2e8c-41e0-8e7d-90737363d45e,51.49760248269072,-0.0663702562451362,The Gregorian,4.2,2a815311-c162-4c4a-94bf-e5a3e1638564,
"97 Nightingale Ln, London SW12 8NX, UK",5f526db5-a48e-4d34-b017-e6c833dbb57c,Bar,ChIJv5EbOscFdkgR5qLYfUKiQJs,False,2cd9035f-af04-41dd-b63c-f47b75c90a8f,51.450079371648926,-0.1578309014439582,The Nightingale,4.4,50dd29fb-9e61-46e2-b670-7d27542586f4,#0275d8
"146 Lea Bridge Rd, Lower Clapton, London E5 9RB, UK",ad43afd8-c0fb-4f48-a782-4d62270ca145,Bar,ChIJjQX3T6sddkgRt-e8wYemD_Y,False,3ebbdbe5-032f-4cc3-ad27-424c04fbf30e,51.56187184251651,-0.0457816198468208,Princess of Wales,4.3,debe8a35-cd92-41a3-b1c7-e77954bb269a,
"74 W End Ln, London NW6 2LX, UK",3604053e-7d97-4da1-a00f-e65844248107,Bar,ChIJv3WWdXcQdkgReXmHuXh-kTY,False,7eb2bc28-8b0c-4409-be4a-13cd97394d9b,51.54483735317766,-0.1915911957621574,Czech and Slovak Club,4.3,7b246a00-e66f-44f8-af83-0408046708a2,#0275d8
"100 W End Ln, London NW6 2LU, UK",3604053e-7d97-4da1-a00f-e65844248107,Bar,ChIJE19hgXcQdkgR9l--CD4wotQ,False,85f36fdf-63f5-4b98-ad76-21b2ba5ef8dd,51.54630085358773,-0.1908958330750465,The Railway,4.2,7b246a00-e66f-44f8-af83-0408046708a2,#0275d8
"140 Tooting Bec Rd, London SW17 8BH, UK",5f526db5-a48e-4d34-b017-e6c833dbb57c,Bar,ChIJAYddTtgFdkgRTOj2cRJluPw,False,9cbd4a94-74c1-4848-a59d-26bf708c61db,51.43300931323834,-0.1543021202087402,The Rose & Crown,4.5,1b4bec99-21cb-470b-b7a1-905862ea504c,#0275d8
